name,gongyi,kouwei,shijian,nandu,zhuliao,fuliao,buzhou,less,more,no,tang,reliang,zhifang,text,parsed
番茄虾球,炒,家常味,5分钟,新手尝试,大虾适量;西红柿适量;柠檬适量;,蛋清1个;核桃油适量;淀粉适量;水淀粉适量;,"步骤1:大虾去头去皮去虾线，用柠檬盐渍一下去腥味。
步骤2:搅拌机内倒入虾肉，蛋清，核桃油，少量淀粉打成泥。
步骤3:用两个勺子捣鼓出一个虾球，放入锅中煮熟捞出备用。
步骤4:西红柿去皮切丁，放入锅中炒制成番茄酱。
步骤5:滴入适量柠檬汁，倒入虾球翻炒，最后勾个欠就完成了。
",无,高血压人群;减肥人群;高血糖人群;高血脂人群;儿童;,无,1.75克,41.4克,0.3克,大虾适量;西红柿适量;柠檬适量;番茄虾球,番茄 柠檬 番茄 
家常干锅土豆片,炒,家常味,5分钟,新手尝试,土豆;五花肉;,干辣椒;蒜片;葱花;洋葱;豆瓣酱;孜然粉;生抽;,"步骤1:土豆切片，五花肉切片。
步骤2:锅中倒油，放入土豆片，边缘煎至焦黄。
步骤3:锅中倒油，倒入五花肉，炒至微微发黄。
步骤4:放入干辣椒，蒜片，炒香，倒入洋葱，炒香。
步骤5:放入豆瓣酱，生抽，土豆片，少许清水，孜然粉，葱花，翻炒均匀即可。
",高血脂人群;减肥人群;高血糖人群;高血压人群;儿童;,无,无,4.41克,246克,22.1克,土豆;五花肉;家常干锅土豆片,土豆 猪肉 土豆 
水煮牛肉,炒,香辣味,60分钟,初级入门,牛肉适量;豆芽适量;莴笋适量;,盐适量;料酒1汤匙;蛋清1个;淀粉1汤匙;花椒适量;干辣椒适量;蒜适量;葱适量;豆瓣酱2汤匙;,"步骤1:牛肉切片盛入碗中，加1勺盐、1勺料酒、1个蛋清、淀粉1小勺，拌匀腌制15分钟
步骤2:锅中烧热水，放入豆芽焯熟捞出，莴笋叶煮熟捞出
步骤3:锅中加2勺油，加入葱、蒜、干辣椒、花椒炒香，放入2勺豆瓣酱炒出红油
步骤4:倒1碗温水，食盐1小勺、生抽2勺
步骤5:放入牛肉片，快速搅散，煮至变色盛出，放在豆芽和莴笋上
步骤6:在牛肉上面加适量花椒、干辣椒、蒜末，浇上热油即可开吃
",儿童;,高血压人群;减肥人群;高血糖人群;高血脂人群;,无,4.13克,50.5克,1.1克,牛肉适量;豆芽适量;莴笋适量;水煮牛肉,牛肉 豆芽 牛肉 
灯影牛肉,炒,家常味,5分钟,新手尝试,牛肉适量;,胡椒粉适量;盐适量;油适量;干辣椒粉适量;糖适量;味精2克;,"步骤1:牛肉切片，加胡椒粉，盐，拌均匀，下油锅，变色炸熟后捞出。
步骤2:锅中少许油，加干辣椒粉，糖炒匀放牛肉。
步骤3:加胡椒粉，盐，味精翻炒入味，挑出装盘。
",高血脂人群;减肥人群;儿童;,无,高血压人群;高血糖人群;,17.22克,232克,8.8克,牛肉适量;灯影牛肉,牛肉 牛肉 
白菜牛肉裹,炒,家常味,5分钟,新手尝试,白菜;牛肉;香菇;木耳;,姜;生抽;蚝油;盐;鸡精;料酒;淀粉;胡椒粉;,"步骤1:姜，香菇，木耳切粒备用。
步骤2:牛肉切末。
步骤3:各种配料搅拌在一起，加入盐，鸡精，料酒，胡椒粉，淀粉。
步骤4:热水下锅，放入盐，食用油，下入白菜。
步骤5:包上牛肉上火蒸15分钟。
步骤6:取出肉卷汤汁，加入蚝油，生抽，淀粉水，勾芡淋上即可。
",无,减肥人群;高血脂人群;高血糖人群;高血压人群;儿童;,无,3.08克,43.4克,1克,白菜;牛肉;香菇;木耳;白菜牛肉裹,白菜 牛肉 白菜 牛肉 
五香牛肉干,炒,咸鲜味,30分钟,中级掌勺,牛肉750克;,花椒1勺;孜然粉少许;八角1枚;生姜1片;盐适量;糖适量;食用油少许;,"步骤1:
步骤2:牛肉洗干净后，沥干水份，切成斜长条
步骤3:八角、花椒放锅中小火炒出香味
步骤4:将花椒擀成粉末状，八角敲碎
步骤5:将准备好的所有调料放牛肉中，用筷子拌匀，腌制2~3小时
步骤6:中途用筷子翻动几次
步骤7:将腌制好的牛肉整齐摆放在烤盘上，刷少许食用油
步骤8:烤箱200度预热好，将烤盘放入烤箱中上层，烤30分钟（中途将烤盘拿出用筷子将牛肉翻个面）
",减肥人群;,高血压人群;高血脂人群;高血糖人群;儿童;,无,3.29克,134.7克,4.7克,牛肉750克;五香牛肉干,牛肉 牛肉 
西红柿炒花菜,炒,咸鲜味,15分钟,初中水平, 花菜200克;番茄2个;,盐4克;油10克;,"步骤1:花菜切成小朵，焯一下水
步骤2:西红柿切块
步骤3:锅里加入油加入西经柿
步骤4:然后快出汁
步骤5:在加入过过多水的花菜
步骤6:翻炒均匀
步骤7:在加入盐
步骤8:炒至均匀入味
步骤9:最后装盘
",无,高血压人群;高血脂人群;减肥人群;高血糖人群;儿童;,无,2.24克,28.5克,2.1克, 花菜200克;番茄2个;西红柿炒花菜,西兰花 番茄 番茄 西兰花 
番茄龙利鱼,煮,家常味,30分钟,未知,番茄一个;龙利鱼适量;,盐适量;葱花少于;,"步骤1:食材准备
步骤2:番茄切块
步骤3:倒油翻炒
步骤4:加水
步骤5:煮软后倒入鱼片
步骤6:鱼片煮熟放盐
",无,减肥人群;高血糖人群;高血压人群;高血脂人群;儿童;,无,1.68克,20.8克,0.5克,番茄一个;龙利鱼适量;番茄龙利鱼,番茄 番茄 
土豆胡萝卜丝炒肉,炒,家常味,10分钟,新手尝试,土豆2个;胡萝卜1条;猪肉(瘦)150克;,盐适量;酱油少许;生粉少许;蒜头2瓣;食用油适量;,"步骤1:土豆切丝用水泡着，这样炒起来就不会软软的。会脆的。泡掉淀粉
步骤2:胡萝卜切丝待用
步骤3:肉切好，用少许生粉、盐、酱油腌一会
步骤4:锅里烧油，放入蒜头和肉炒一会待用
步骤5:放入土豆丝炒一会
步骤6:再放入胡萝卜丝一起炒
步骤7:放入适量的盐炒一下
步骤8:最后把之前炒好的肉放进去翻炒一下就可以上菜了
步骤9:炒好放入碟子就可以开吃了
",高血压人群;高血脂人群;减肥人群;高血糖人群;儿童;,无,无,6.16克,211.5克,17.1克,土豆2个;胡萝卜1条;猪肉(瘦)150克;土豆胡萝卜丝炒肉,土豆 胡萝卜 猪肉 土豆 胡萝卜 
咖喱土豆鸡翅,炖,咖喱味,30分钟,未知,鸡翅适量;土豆一个;胡萝卜一根;,料酒适量;盐适量;姜适量;咖喱一块半;,"步骤1:准备咖喱、姜，土豆，胡萝卜和鸡翅
步骤2:鸡翅浸泡半小时以上，中间换水以泡去两面的血水，锅里放水烧开，放鸡翅加料酒焯水变色捞出
步骤3:鸡翅洗净沥干，鸡翅一剪二，放姜块加生抽➕料酒➕适量盐腌制半小时
步骤4:胡萝卜土豆洗净滚刀切块备用
步骤5:热锅热油，放鸡翅煎至鸡翅微黄
步骤6:放姜块，放土豆胡萝卜块，加适量料酒翻炒几下
步骤7:倒入足量开水，盖过鸡翅就行
步骤8:放入适量咖喱块，大火烧开，咖喱融化搅拌均匀
步骤9:转小火炖20～25分钟即可，加盐调味，大火收汁装盘
",高血糖人群;,高血压人群;减肥人群;高血脂人群;儿童;,无,6.09克,51.8克,1.5克,鸡翅适量;土豆一个;胡萝卜一根;咖喱土豆鸡翅,土豆 胡萝卜 土豆 
蜂蜜香蕉鸡蛋饼,煎,酸甜味,10分钟,初级入门,香蕉1根;鸡蛋2个;,蜂蜜适量;,"步骤1:准备材料；
步骤2:将香蕉去皮，切丁，放入碗中；
步骤3:用勺子将香蕉捣碎成泥；
步骤4:打入两个鸡蛋；
步骤5:将鸡蛋打散与香蕉泥混合；
步骤6:冷锅，用勺子将蛋糊倒入煎锅中，然后开火，小火煎2-3分钟至表面冒出大汽泡；
步骤7:翻面，再煎30秒左右即可；
步骤8:出锅，装盘，在香蕉鸡蛋饼上淋上蜂蜜，即可食用！
",减肥人群;,高血脂人群;高血压人群;儿童;,高血糖人群;,13.02克,111.5克,2.6克,香蕉1根;鸡蛋2个;蜂蜜香蕉鸡蛋饼,香蕉 鸡蛋 香蕉 鸡蛋 
土豆回锅肉,炒,香辣味,10分钟,初中水平,五花肉200克;土豆250克;,葱1段;郫县豆瓣20克;豆豉5克;白糖5克;生抽8毫升;料酒10毫升;大蒜4瓣;,"步骤1:土豆切片。切葱花蒜片。
步骤2:五花肉冷水下锅，煮到半熟，然后捞出切片备用。
步骤3:土豆过油轻炸，捞出备用。
步骤4:锅中放油，然后放入葱花，大蒜片，然后放入一大勺郫县豆瓣，用小火炒出红油。
步骤5:放入肉片煸炒，
步骤6:然后倒入料酒。
步骤7:炒到微卷，然后加入一些豆豉。
步骤8:然后倒入土豆翻炒均匀，放一些白糖提味。
步骤9:撒上一些葱花即可出锅。
",减肥人群;高血糖人群;高血脂人群;儿童;,高血压人群;,无,7.21克,164.8克,12克,五花肉200克;土豆250克;土豆回锅肉,猪肉 土豆 土豆 
鸡蛋炒饼,炒,家常味,60分钟,未知,葱油饼一张;鸡蛋一个;,油适量;味精3克;胡椒粉2克;包菜50克;尖椒一个;洋葱半个;香葱2根;大蒜一瓣;干辣椒3个;味极鲜5毫升;老抽3毫升;,"步骤1:葱油饼一张。
步骤2:尖椒，洋葱，包菜洗净待用。
步骤3:尖椒，洋葱，包菜切丝。
步骤4:葱油饼切条。
步骤5:香葱，干辣椒切段，大蒜拍末。
步骤6:炒锅点火入油烧热，入葱，蒜，干辣椒爆香。
步骤7:下入洋葱，尖椒，包菜煸炒。边炒边烹入味极鲜，老抽增色增香。淋入一点热水，调入味精，胡椒粉翻炒均匀。
步骤8:下入饼条，快速翻炒。
步骤9:大火翻炒均匀，关火。
步骤10:出锅装盘。
步骤11:炒锅点火入适量油，取鸡蛋一个打入碗中，加少许盐搅拌均匀，摊在锅里煎成饼。
步骤12:盖在炒饼上，即可。
",儿童;,高血压人群;高血脂人群;减肥人群;高血糖人群;,无,4.69克,74.4克,3.8克,葱油饼一张;鸡蛋一个;鸡蛋炒饼,鸡蛋 鸡蛋 
黄瓜鸡蛋拌豆腐丝,拌,家常味,5分钟,新手尝试,黄瓜一根;鸡蛋一个;豆腐皮半张;,食用油;盐;生抽酱油;花椒油;麻辣油;,"步骤1:准备好原料，平时我都是用黄瓜拌豆腐皮的，这次加了枚鸡蛋；
步骤2:把豆腐皮叠好切成细丝，切的越细越好；
步骤3:锅里烧开水，把切好的豆腐丝放进去煮30炒左右，烫去豆腥味，然后捞出过凉沥水备用；
步骤4:把黄瓜切成细丝；
步骤5:平底锅上火烧热，放少许食用油，把鸡蛋打散，倒进锅里，摊成一个鸡蛋皮；
步骤6:摊好的鸡蛋皮切成细条；
步骤7:把放凉的豆腐丝和黄瓜丝，鸡蛋皮一起放进一个大点的容器里；
步骤8:放上盐、生抽酱油、花椒油、麻辣油；
步骤9:调拌均匀就可以了，麻辣油的味道很香，如果喜欢的话可以多放一点，不能吃辣的人可以用橄榄油或香油代替；
步骤10:调拌好的一盘小凉菜，夏天吃起来很舒服。摊出来的鸡蛋皮切丝，再浸泡上调味料，吸的饱饱的，口感还挺不错的，再配上豆腐丝的韧和黄瓜丝的脆，味道不错哦，闺女给的这个建议还是蛮好的嘛，我平时还真没想起来这么吃过。后来又拌了几次，都很受家人欢迎。
步骤11:开胃爽口又营养，来试试吧！
",高血脂人群;减肥人群;儿童;,高血压人群;高血糖人群;,无,3.43克,175克,11.3克,黄瓜一根;鸡蛋一个;豆腐皮半张;黄瓜鸡蛋拌豆腐丝,黄瓜 鸡蛋 黄瓜 鸡蛋 
西红柿炖牛肉,炖,家常味,2小时,新手尝试,牛肉400克;西红柿2个;土豆半个;,姜8片;桂皮1个;花椒适量;大料2个;盐适量;花生油适量;香葱1颗;香叶适量;,"步骤1:牛肉用清水泡过，切成小块儿
步骤2:凉水入锅，加几片姜片去腥
步骤3:水开捞去浮末
步骤4:煮两分钟
步骤5:捞出牛肉用热水洗干净
步骤6:番茄去皮切块
步骤7:锅里烧热底油，姜片爆香
步骤8:葱爆香
步骤9:放入西红柿煸炒一下
步骤10:下焯水后的牛肉
步骤11:翻炒均匀后倒入砂锅
步骤12:一次性加入足够量的开水
步骤13:加入准备好的花椒大料桂皮香叶，小火炖1个小时
步骤14:土豆切块
步骤15:加入土豆和适量的盐再炖30分钟左右即可出锅
",无,高血压人群;高血脂人群;减肥人群;高血糖人群;儿童;,无,3.22克,81.7克,2.9克,牛肉400克;西红柿2个;土豆半个;西红柿炖牛肉,牛肉 番茄 土豆 番茄 
香菇西兰花,炒,家常味,30分钟,中级掌勺,西兰花适量;香菇适量;,食用油适量;盐适量;味精适量;生抽适量;淀粉适量;蚝油适量;清水适量;,"步骤1:首先将香菇清洗干净切成薄片。
步骤2:然后将西兰花清洗干净，切成小朵，焯一下水。
步骤3:接着在一个碗中加入半勺的蚝油，一小勺的生抽，适量的盐，少许的鸡精，适量的淀粉和半勺的清水搅拌均匀。
步骤4:然后把西兰花放入盘中摆好。
步骤5:接着锅中放入适量的食用油，倒入香菇片炒至变色。
步骤6:然后把调制好的酱料倒进锅中，翻炒片刻就可以出锅了。
步骤7:一道美味可口的香菇西兰花就做好了。
",高血压人群;儿童;,高血脂人群;减肥人群;高血糖人群;,无,3.71克,42.8克,1.5克,西兰花适量;香菇适量;香菇西兰花,西兰花 西兰花 
皮条黄瓜,拌,家常味,10分钟,初级入门,黄瓜500克;,食盐8克;大蒜4克;酱油3毫升;花椒粉2克;植物油5毫升;鸡精4克;,"步骤1:黄瓜洗净。
步骤2:去皮，再用去皮刀刮刮出一条条的黄瓜皮。
步骤3:黄瓜的内瓤不用，清水洗干净再沥干。
步骤4:将食盐、酱油、鸡精、花椒粉加入搅拌均匀。
步骤5:将食用油烧热浇入上面即可。
",无,高血糖人群;减肥人群;高血脂人群;高血压人群;儿童;,无,1.89克,14.7克,0.2克,黄瓜500克;皮条黄瓜,黄瓜 黄瓜 
土豆酱,焖,酱香味,30分钟,初级入门,土豆3个;,东北大酱半小碗;葱5克;植物油200克;水适量;,"步骤1:土豆去皮洗净
步骤2:切成稍小的滚刀块
步骤3:婆婆自己做的东北大酱
步骤4:葱切好
步骤5:锅内油烧热
步骤6:下入2勺大酱和葱花爆香，然后马上加入水，并把土豆块下入锅中，水要没过土豆块，盖上盖焖土豆。酱和葱花下油爆香，要迅速加水，慢了就会糊，所以这步没拍上
步骤7:中间翻开锅看水量，继续焖土豆
步骤8:土豆烂些，放入剩下的大酱，并用铲子压碎土豆块
步骤9:慢慢的炒去土豆酱的水分，这时候要改为小火
步骤10:盛出
",高血压人群;高血糖人群;儿童;,无,高血脂人群;减肥人群;,5.46克,373.4克,36.7克,土豆3个;土豆酱,土豆 土豆 
鸡蛋红烧肉,炖,咸鲜味,60分钟,初级入门,五花肉700克;鸡蛋5个;,油2汤匙;白糖2茶匙;八角1个;香叶2片;胡椒粉1茶匙;葱1根;姜1小块;,"步骤1:猪五花肉用开水烫一下，取出把肉皮刮干净冲洗干净
步骤2:把五花肉切成约1cm见方的块
步骤3:葱、姜、香叶备好
步骤4:炒锅放2勺油后放入2勺白糖，用铲刀不断滑动，小火熬煮到油面起褐色浮沫
步骤5:倒入肉块，翻炒上色
步骤6:加水，水要高出肉面。同时加入盐、香叶、胡椒粉、八角，盖好，开锅后小火煮炖半小时
步骤7:鸡蛋煮好去皮。用小刀在鸡蛋面上割出几道小口
步骤8:肉煮半小时放入鸡蛋
步骤9:大约20分钟后煮干锅放入葱花
步骤10:翻炒出油即可
",高血脂人群;减肥人群;高血压人群;高血糖人群;儿童;,无,无,1.96克,237.1克,22.1克,五花肉700克;鸡蛋5个;鸡蛋红烧肉,猪肉 鸡蛋 鸡蛋 
糖渍西红柿,拌,酸甜味,10分钟,新手尝试,西红柿2个;,细砂糖适量;,"步骤1:准备2个西红柿，比较常见即可。
步骤2:洗净。
步骤3:去蒂。
步骤4:切小块。
步骤5:切好后装入一个大碗内。
步骤6:加入2大勺细砂糖。
步骤7:简单拌匀，静置至少十分钟。
步骤8:装盘。
步骤9:在表面再撒上一点点细砂糖，就可以了。
",无,减肥人群;高血糖人群;高血脂人群;高血压人群;儿童;,无,2.24克,10.7克,0.2克,西红柿2个;糖渍西红柿,番茄 番茄 
炝黄瓜条,炒,香辣味,10分钟,新手尝试,黄瓜2根;,花生油20克;食盐2克;蒜1瓣;花椒1小撮;干辣椒2根;糖2克;,"步骤1:黄瓜洗净从中间剖开，然后再剖开成四条
步骤2:用刀片去中间的软籽部分
步骤3:切成适度长短的段，用2克盐抓匀备用，蒜切片
步骤4:干辣椒去籽切节备用
步骤5:锅倒适量油，先放花椒，然后开火小火慢慢炸至颜色深棕
步骤6:接着开大火下辣椒节快速煸至深棕色，下腌过的黄瓜和蒜片，放一点糖
步骤7:大火快速翻炒十五秒左右即刻出锅，晾凉食用
",儿童;,高血糖人群;减肥人群;高血脂人群;高血压人群;,无,1.89克,14.7克,0.2克,黄瓜2根;炝黄瓜条,黄瓜 黄瓜 
胡萝卜玉米猪肉饺子馅,拌,家常味,30分钟,初级入门,猪肉500克;胡萝卜1个;玉米2个;,盐1小勺;香油1大勺;酱油1汤匙;蚝油2汤匙;姜粉1茶匙;,"步骤1:准备所需材料。
步骤2:玉米洗净削成粒，胡萝卜去皮切成小丁。
步骤3:猪肉剁成肉沫。
步骤4:肉沫里加入盐、香油、酱油、蚝油、姜粉。
步骤5:然后顺一个方向拌匀。
步骤6:再加入胡萝卜丁和玉米粒。
步骤7:最后拌匀即可。
",高血脂人群;高血压人群;儿童;,无,减肥人群;高血糖人群;,22.12克,353.4克,21.6克,猪肉500克;胡萝卜1个;玉米2个;胡萝卜玉米猪肉饺子馅,猪肉 胡萝卜 玉米 胡萝卜 玉米 猪肉 
泡椒蟹,炒,家常味,5分钟,新手尝试,螃蟹;黄瓜;,泡椒;生姜;大蒜;淀粉;大葱;料酒;,"步骤1:大葱，生姜切碎。
步骤2:螃蟹洗净，撒上料酒，生粉搅拌均匀。
步骤3:锅中油热放入螃蟹炒至变色捞出。
步骤4:再倒入葱姜蒜，螃蟹，大火翻炒一会即可盛出。
",无,高血压人群;减肥人群;高血脂人群;高血糖人群;儿童;,无,2.38克,38.6克,0.7克,螃蟹;黄瓜;泡椒蟹,螃蟹 黄瓜 
酱烧鱼头,炖,酱香味,30分钟,初级入门,鱼头1个;,油适量;番茄2个;黄豆酱适量;葱姜蒜适量;五香粉适量;料酒适量;,"步骤1:鱼头去鳞去腮去内脏清洗干净加点料酒腌制一下去腥味
步骤2:番茄洗净切块，葱姜蒜切丝切片
步骤3:炒锅加入适量的油，鱼头两面煎至金黄取出
步骤4:底油爆香葱姜蒜，五香粉，加入黄豆酱变出香味，加入番茄煸炒，再加入鱼头
步骤5:加适量的水大货烧开
步骤6:小火炖20分钟左右
步骤7:出锅
",无,高血脂人群;高血压人群;减肥人群;高血糖人群;儿童;,无,2.38克,39.4克,2.1克,鱼头1个;酱烧鱼头,鱼 鱼 
小炒肉,炒,香辣味,10分钟,初级入门,五花肉适量;,红尖椒适量;尖椒适量;,"步骤1:五花肉切片；青红美人椒切斜段；大葱切片
步骤2:锅中少放油，五花肉片不用上浆，直接入锅，中小火，要有耐心的炒，先炒到肉片发微黄
步骤3:这时要下狠心，继续炒，直到炒的肉片呈焦焦的状况，盛出备用
步骤4:利用锅中的剩油，倒入青红美人椒，也要把它们炒的焦焦状，锅中没有一点水分
步骤5:辣椒炒焦状后，倒入肉片；大葱片，开大火翻炒均匀后，加入3勺酱油；1勺糖；料酒；盐，炒匀后，淋入香油，沿锅边烹入少许的锅边醋，即可出锅
",减肥人群;高血压人群;高血糖人群;儿童;,无,高血脂人群;,6克,296.6克,30克,五花肉适量;小炒肉,猪肉 
西红柿鸡肉汤,煮,酸甜味,15分钟,未知,鸡肉200克;西红柿1个;丝瓜半根;,盐2克;葱少许;油适量;,"步骤1:西红柿切碎
步骤2:葱切碎
步骤3:丝瓜切碎
步骤4:鸡肉剁碎
步骤5:锅里放适量油烧热，放葱白爆香后放西红柿炒出汤汁，然加适量水煮开
步骤6:加丝瓜煮软，最后放鸡肉煮熟后就可以起锅了
步骤7:最后放鸡肉煮熟后就可以起锅了
",高血脂人群;减肥人群;,高血压人群;高血糖人群;儿童;,无,1.19克,115.5克,10.1克,鸡肉200克;西红柿1个;丝瓜半根;西红柿鸡肉汤,鸡肉 番茄 番茄 鸡肉 
麻辣飞红牛肉,炒,家常味,5分钟,新手尝试,牛肉300克;,白酒;花椒;盐;香辣脆;细辣椒面;麦芽糖;叉烧酱;海鲜酱;,"步骤1:牛肉切丁
步骤2:锅底热油煎制牛肉
步骤3:倒入白酒晃锅牛肉用果木熏香
步骤4:花椒加盐炒香
步骤5:碾成碎
步骤6:香脆椒磨碎
步骤7:混合搅拌均匀
步骤8:调汁
步骤9:调好的汁隔水加热搅拌至粘稠
步骤10:倒入牛肉辣椒面搅拌均匀
",减肥人群;儿童;,高血压人群;高血脂人群;,高血糖人群;,13.65克,191.3克,3.6克,牛肉300克;麻辣飞红牛肉,牛肉 牛肉 
酱小土豆,酱,家常味,30分钟,初中水平,小土豆300克;,酱油3大勺;蒜3瓣;干辣椒1个;料酒2大勺;白芝麻1小勺;白糖2大勺;麦芽糖1大勺;,"步骤1:土豆洗干净，但是不要削皮，干辣椒切段去籽，蒜切片
步骤2:把土豆放进保鲜袋或者包上保鲜膜，用微波炉加热10分钟，用微波炉比较快，也可以放在清水里煮到软
步骤3:锅里放酱油3大勺、白糖2大勺、料酒2大勺、麦芽糖1大勺，煮开
步骤4:用牙签在小土豆上戳洞，以便入味，放入处理好的小土豆、蒜片、干辣椒，继续煮，煮到汤水逐渐减少后，撒上白芝麻即可 
",儿童;,减肥人群;高血脂人群;高血压人群;,高血糖人群;,11.69克,74.3克,0.2克,小土豆300克;酱小土豆,土豆 土豆 
土豆牛肉,炖,家常味,30分钟,新手尝试,牛肉700克;西红柿1个;土豆2个;,葱1段;姜5片;盐2勺;老抽3勺;水适量;八角3个;,"步骤1:牛肉洗净，切块备用
步骤2:入高压锅，并放上跟肉同高度的水及葱、姜、八角
步骤3:西红柿切块，同入锅中
步骤4:盖好盖子，选择牛羊肉，等熟吧
步骤5:土豆切块备用
步骤6:锅里放一点点油，炒香葱段
步骤7:土豆入锅炒两分钟
步骤8:加放炖好的牛肉及汤汁，炖至土豆微软，就可以出锅上桌啦
",无,高血压人群;高血脂人群;减肥人群;高血糖人群;儿童;,无,3.29克,91克,2.7克,牛肉700克;西红柿1个;土豆2个;土豆牛肉,牛肉 番茄 土豆 土豆 牛肉 
黄瓜培根卷,炒,家常味,5分钟,新手尝试,黄瓜;培根;,黄油;千岛酱;,"步骤1:黄瓜切成薄片
步骤2:锅内放黄油放入培根煎熟
步骤3:黄瓜条上刷上一层千岛酱
步骤4:放入煎制好的培根卷起
步骤5:用牙签固定
",无,高血脂人群;减肥人群;高血压人群;高血糖人群;儿童;,无,1.82克,70.1克,3.1克,黄瓜;培根;黄瓜培根卷,黄瓜 黄瓜 
胡萝卜红烧肉,烧,咸鲜味,60分钟,初中水平,五花肉400克;胡萝卜1根;,生姜1块;蒜2瓣;大葱1段;生抽10克;老抽3克;甜面酱5克;植物油10克;料酒10克;香油2片;八角1个;豆瓣酱10克;,"步骤1:准备好原材料
步骤2:五花肉切成小方块
步骤3:大葱切成小段，生姜和大蒜瓣切成片
步骤4:锅里放入适量水、适量料酒、几片生姜、香叶、八角、五花肉，将五花肉煮熟
步骤5:胡萝卜切成小块，（我为了孩子多吃点，切成了她喜欢的花朵状）
步骤6:锅里放入少许油，煸炒煮熟的五花肉
步骤7:加入豆瓣酱、少许老抽、甜面酱，煸炒出香味
步骤8:加入葱、姜、蒜、胡萝卜，翻炒均匀
步骤9:加入没过全部材料的水，大火烧开转小火炖至肉比较软烂，然后大火收汁儿
步骤10:出锅了
",高血脂人群;高血压人群;减肥人群;高血糖人群;儿童;,无,无,2.59克,201.4克,19.2克,五花肉400克;胡萝卜1根;胡萝卜红烧肉,猪肉 胡萝卜 胡萝卜 
香辣黄瓜片,炒,香辣味,10分钟,初级入门,黄瓜300克;,大蒜3克;干辣椒3克;植物油30ML;盐少许;白糖少许;红油豆瓣酱1/2汤匙;,"步骤1:黄瓜洗净切成0.3厘米厚的薄片
步骤2:将黄瓜片盛到小盆里，放少许精盐，腌渍15分钟（入锅前将腌出的水倒掉）。
步骤3:大蒜切薄片、红椒去籽切段
步骤4:锅里放油，油热后放入1/2汤匙红油豆瓣酱
步骤5:接着放入辣椒段、大蒜片
步骤6:倒入腌好的黄瓜片，放入少许白糖，翻炒均匀即可出锅
",减肥人群;儿童;,高血压人群;高血脂人群;高血糖人群;,无,4.83克,108.5克,8.7克,黄瓜300克;香辣黄瓜片,黄瓜 黄瓜 
菠萝蒸饭,煮,其它口味,30分钟,新手尝试,菠萝半个;胡萝卜半根;,大米2碗;水适量;,"步骤1:准备好材料
步骤2:将菠萝一分为二，取适量菠萝备用
步骤3:将菠萝切块
步骤4:然后切成丁
步骤5:胡萝卜也要切成丁
步骤6:将米洗好后，把胡萝卜和菠萝加入里面
步骤7:正常焖饭就可以了，饭锅跳闸即可食用
",减肥人群;,高血压人群;高血脂人群;儿童;,高血糖人群;,24.43克,153.2克,0.4克,菠萝半个;胡萝卜半根;菠萝蒸饭,菠萝 胡萝卜 菠萝 
丝瓜炖鸡蛋,炒,家常味,5分钟,新手尝试,鸡蛋;丝瓜;,葱花;,"步骤1:鸡蛋煎好，切成小条。
步骤2:丝瓜切成条。
步骤3:丝瓜放水后，倒入鸡蛋。
步骤4:水开后捞出。
步骤5:盛出撒些葱花即可。
",无,高血脂人群;减肥人群;高血糖人群;高血压人群;儿童;,无,2.24克,28.1克,1.2克,鸡蛋;丝瓜;丝瓜炖鸡蛋,鸡蛋 鸡蛋 
西红柿牛肉煲,炖,茄汁味,90分钟,初级入门,牛肉1000克;西红柿3个;,花椒20粒;姜4片;食盐2茶匙;清水适量;,"步骤1:牛肉切大块，放冷水中浸泡半小时左右，去掉血水
步骤2:将去过血水的牛肉放锅中过水，煮半小时左右出锅
步骤3:过水后的牛肉，改刀切小块
步骤4:切好的牛肉放沙锅中加适量水、姜、花椒大火煮开，然后改小火慢慢炖
步骤5:炖半小时左右后，将西红柿随意切块，下锅中，同时加入食盐，继续煮15分钟左右
",无,减肥人群;高血糖人群;高血脂人群;高血压人群;儿童;,无,4.27克,96.1克,3.1克,牛肉1000克;西红柿3个;西红柿牛肉煲,牛肉 番茄 番茄 牛肉 
土豆红烧肉,烧,咸鲜味,30分钟,初级入门,五花肉400克;土豆1大个;,姜片2片;小葱末  1根;红辣椒   1个;冰糖 1块;香叶2片;八角 1个;花雕酒3勺;桂皮1块;白酒 1勺;生抽 2勺;油盐适量;,"步骤1:准备好原材料；
步骤2:五花肉冷水进去焯煮，加入白酒帮助去腥，将血沫煮出来后冲洗干净；
步骤3:锅中放入少许油，下入冰糖小火翻炒；
步骤4:冰糖完全融化成棕色加入五花肉进去翻炒；
步骤5:将五花肉翻炒上色，加入少许料酒和生抽进去继续翻炒；
步骤6:将姜片放入电压力锅中垫底，将刚炒上色的五花肉放入煲中；
步骤7:再放入滚刀块的土豆，加入大料和小半碗花雕酒；
步骤8:.加盖，按下烧肉功能键；
步骤9:25分钟后就炖煮好了，加入盐调味即可
步骤10:盛入碗中，表面上撒小葱末。
",高血脂人群;减肥人群;高血压人群;高血糖人群;儿童;,无,无,6.72克,273.2克,23.3克,五花肉400克;土豆1大个;土豆红烧肉,猪肉 土豆 土豆 
